"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @spideysnews: The latest TV spot for #SpiderManNoWayHome! ⚡️ https://t.co/sPMNp4hf6S",FALSE,0,NA,2021-11-27 12:25:30,FALSE,NA,"1464571078647468036",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wood_Pecado",662,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:25:23,FALSE,NA,"1464571050759495681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CAOBusby",6191,TRUE,FALSE,NA,NA
"RT @spideyupdated: New #SpiderManNoWayHome tv spot! https://t.co/Ok9i2klXxG",FALSE,0,NA,2021-11-27 12:25:19,FALSE,NA,"1464571031776112642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","astrovoid88",961,TRUE,FALSE,NA,NA
"RT @SpiderMan3news: The final rundown for #SpiderManNoWayHome will be 2 hours and 28 minutes (Via @bigscreenleaks) https://t.co/oYuoFltTIQ",FALSE,0,NA,2021-11-27 12:25:13,FALSE,NA,"1464571007046356997",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndzarAnjaaa",37,TRUE,FALSE,NA,NA
"RT @therealsupes: My Spider-Man Movie Ranking:

1. #SpiderManNoWayHome 
2. Into The Spiderverse 
3. Spider-Man 2
4. Spider-Man 3
5. Spider-…",FALSE,0,NA,2021-11-27 12:24:43,FALSE,NA,"1464570882660048900",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahul_dfk",654,TRUE,FALSE,NA,NA
"RT @SpiderManMovie: Forget #BlackFriday, the perfect gift awaits on Spider-Monday! Tickets for #SpiderManNoWayHome go on sale Monday, Novem…",FALSE,0,NA,2021-11-27 12:24:21,FALSE,NA,"1464570789999656966",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","justintanwc",2527,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: We started getting visitors… from every universe. 

#SpiderManNoWayHome Exclusively At Cinemas December 15. Tickets on…",FALSE,0,NA,2021-11-27 12:23:57,FALSE,NA,"1464570691433467907",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JusttMohammed",55,TRUE,FALSE,NA,NA
"This will get a lot of heat but this is my list:
1.  Spider-Man 2
2. The Amazing Spider-Man 2
3. Spider-Man
4. The… https://t.co/jh2FKUHxVK",FALSE,1,NA,2021-11-27 12:23:54,TRUE,NA,"1464570677432926214",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Son_Of_Tchalla",0,FALSE,FALSE,NA,NA
"RT @therealsupes: My Spider-Man Movie Ranking:

1. #SpiderManNoWayHome 
2. Into The Spiderverse 
3. Spider-Man 2
4. Spider-Man 3
5. Spider-…",FALSE,0,NA,2021-11-27 12:23:51,FALSE,NA,"1464570665214754819",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anoda_username",654,TRUE,FALSE,NA,NA
"RT @RafaelRosaCanal: 12/16/2021 gonna release #SPIDERMANNOWAYHOME in some countries and in this same date, pass 30 years after Howard Stark…",FALSE,0,NA,2021-11-27 12:23:42,FALSE,NA,"1464570625435963397",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tharfzn",1,TRUE,FALSE,NA,NA
